[9/23/2015 8:57:24 AM] Connection to station PBAY could not be established.
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035u.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035v.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035w.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY035x.m00 varsam[8].Substring(4, 3)): 035 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036a.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036b.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036c.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036d.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036e.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036f.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036g.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036h.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036i.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036j.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036k.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036l.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036m.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036n.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036o.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036p.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
